ObjectId,Country,ISO2,ISO3,Indicator,Code,Unit,F1961,F1962,F1963,F1964,F1965,F1966,F1967,F1968,F1969,F1970,F1971,F1972,F1973,F1974,F1975,F1976,F1977,F1978,F1979,F1980,F1981,F1982,F1983,F1984,F1985,F1986,F1987,F1988,F1989,F1990,F1991,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020
101,Japan,JP,JPN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.666,0.121,-0.06,0.257,-0.527,0.015,0.027,-0.499,-0.046,-0.373,-0.328,0.23,0.329,-0.481,0.042,-0.505,-0.156,0.227,0.454,-0.21,-0.643,-0.057,0.087,-0.628,0.11,-0.702,0.309,-0.166,0.541,1.117,0.704,0.309,-0.011,0.947,0.323,-0.154,0.425,1.173,0.919,0.6,0.383,0.599,0.293,1.089,0.706,0.357,0.97,0.642,0.778,0.899,0.578,0.369,0.596,0.53,0.815,1.304,0.774,0.899,1.247,1.413
102,Jordan,JO,JOR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.247,0.807,0.769,-0.649,-0.006,0.738,-0.991,-0.061,0.435,0.246,-0.37,-0.597,-0.538,-0.37,-0.56,-0.763,-0.049,-0.061,0.693,-0.2,-0.256,-0.736,-1.119,-0.303,-0.082,0.007,-0.222,-0.104,-0.157,-0.151,0.415,-1.219,-0.612,0.836,-0.154,0.377,-0.286,0.893,0.925,0.255,0.864,0.547,0.38,0.5,-0.02,0.628,0.394,0.582,0.427,2.484,0.362,0.922,0.893,0.69,1.345,1.573,0.871,1.899,1.222,1.569
103,"Kazakhstan, Rep. of",KZ,KAZ,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268,-0.391,-0.06,2.026,-0.418,1.87,0.482,1.361,1.491,1.632,2.246,0.122,2.159,1.561,1.446,2.208,1.569,1.204,1.306,0.74,1.15,1.618,0.673,1.61,2.246,1.76,0.645,1.493,2.854
104,Kenya,KE,KEN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.26,-0.227,-0.173,-0.399,-0.244,0.148,0.003,-0.59,0.094,0.159,-0.291,0.193,0.501,-0.103,-0.092,0.193,0.147,-0.024,0.026,0.558,0.157,0.263,0.579,0.145,-0.07,0.121,0.717,0.611,-0.186,-0.025,0.264,0.418,0.067,0.502,0.376,0.424,0.495,0.228,0.218,0.504,0.59,0.72,0.868,0.673,0.794,0.799,0.505,0.685,1.289,1.104,1.05,0.945,0.87,0.956,1.16,1.259,1.512,0.635,1.611,1.332
105,Kiribati,KI,KIR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.024,-0.109,-0.049,-0.161,-0.332,-0.002,-0.016,0.004,0.383,0.123,-0.436,-0.271,0.16,-0.146,-0.248,-0.24,0.124,0.227,0.151,0.194,0.229,0.148,0.096,-0.17,0.028,0.301,0.086,0.057,-0.225,0.205,0.189,0.099,-0.228,0.065,0.355,0.258,0.052,0.46,-0.196,0.071,0.353,0.454,0.537,,,0.517,0.563,0.327,0.669,0.618,0.634,0.734,0.934,1.073,1.028,1.296,1.107,1.014,1.015,1.307
106,"Korea, Dem. People's Rep. of",KP,PRK,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.454,-0.096,-0.146,0.198,-0.247,-0.104,0.129,-0.501,-0.49,-0.412,-0.267,-0.148,0.641,-0.421,0.982,-0.249,0.209,0.728,0.682,0.065,-0.54,0.96,0.642,-0.101,0.195,-0.658,0.279,0.61,1.269,1.366,0.628,0.798,0.601,1.397,0.739,0.318,1.033,1.839,1.44,0.655,0.909,0.913,1.008,1.656,0.947,0.786,1.695,1.602,1.148,0.456,0.596,0.495,0.375,1.55,1.246,1.467,1.654,0.909,1.915,2.022
107,"Korea, Rep. of",KR,KOR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.622,-0.108,-0.494,0.591,-0.191,0.087,0.152,-0.682,-0.291,-0.495,-0.192,-0.071,0.555,-0.765,0.621,-0.449,0.155,0.82,0.623,-0.44,-0.747,0.435,0.464,-0.269,0.281,-0.743,0.397,0.278,0.8,1.248,0.297,0.632,0.05,1.276,0.446,-0.012,0.741,1.497,1.069,0.43,0.898,0.655,0.633,1.209,0.964,0.546,1.313,1.005,1.004,0.558,0.372,0.45,0.566,0.897,0.847,1.539,1.362,0.873,1.438,1.44
108,Kuwait,KW,KWT,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.262,0.767,0.464,-0.796,0.031,0.776,-0.643,-0.279,0.361,0.514,-0.18,-0.784,-0.275,-0.341,-0.265,-0.672,0.339,-0.005,1.248,0.413,0.329,-0.234,-0.715,0.202,-0.045,0.421,0.661,0.389,0.083,0.33,0.478,-0.565,-0.125,0.952,0.192,0.908,0.519,1.345,2.075,1.177,1.301,1.631,1.584,1.54,0.751,1.93,1.113,1.431,1.258,2.546,1.329,1.538,1.433,1.505,2.083,1.586,1.925,2.315,1.834,1.911
109,Kyrgyz Rep.,KG,KGZ,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,-0.092,0.285,0.46,-0.422,1.406,0.778,1.073,1.09,1.436,1.425,0.452,1.499,1.16,1.598,1.692,0.989,0.976,1.321,1.194,0.276,1.367,0.505,1.479,1.886,1.444,1.226,1.649,1.392
110,Lao People's Dem. Rep.,LA,LAO,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.083,-0.231,-0.401,-0.058,-0.159,0.472,-0.082,-0.11,0.505,-0.05,-0.515,-0.044,0.478,-0.424,0.237,-0.518,-0.02,0.133,0.458,0.452,0.433,0.168,0.259,0.073,0.257,0.015,0.94,0.3,0.26,0.419,0.688,0.199,0.302,0.394,0.623,0.143,0.333,1.432,0.663,0.039,0.721,0.601,0.977,0.401,0.878,0.834,0.556,0.244,0.612,1.322,0.092,0.92,1.085,0.66,1.314,1.324,1.071,0.814,2.053,1.605
