ObjectId,Country,ISO2,ISO3,Indicator,Unit,Date,Value
57,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M01,316.89
58,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M01,0.145371804190497
59,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M02,317.7
60,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M02,0.227143668370244
61,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M03,318.54
62,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M03,0.302286038163624
63,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M04,319.48
64,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M04,0.14105256558945
65,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M05,320.58
66,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M05,0.168728908886373
67,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M06,319.77
68,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M06,0.0563221627710497
69,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M07,318.57
70,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M07,0.122572128983589
71,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M08,316.79
72,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M08,0.281734726179184
73,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M09,314.99
74,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M09,0.261005188273855
75,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M10,315.31
76,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M10,0.471592900614981
77,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M11,316.1
78,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M11,0.349206349206366
79,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M12,317.01
80,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M12,0.25933773996647
81,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M01,317.94
82,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M01,0.33134526176275
83,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M02,318.55
84,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M02,0.267548001259055
85,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M03,319.68
86,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M03,0.357882840459589
87,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M04,320.57
88,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M04,0.341179416551896
89,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M05,321.02
90,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M05,0.137251232141744
91,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M06,320.62
92,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M06,0.265816055289747
93,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M07,319.61
94,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M07,0.326458863044232
95,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M08,317.4
96,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M08,0.192556583225456
97,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M09,316.25
98,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M09,0.400012698815821
99,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M10,315.42
100,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M10,0.0348863023690971
101,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M11,316.69
102,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M11,0.186649794368865
103,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M12,317.7
104,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M12,0.217658748935357
105,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M01,318.74
106,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M01,0.251619802478453
107,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M02,319.07
108,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M02,0.163239679799077
109,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M03,319.86
110,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M03,0.0563063063063085
111,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M04,321.38
112,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M04,0.252674922793772
113,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M05,322.25
114,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M05,0.383153697588945
115,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M06,321.48
116,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M06,0.268230303786421
117,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M07,319.74
118,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M07,0.0406745721347912
119,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M08,317.77
120,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M08,0.11657214870826
121,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M09,316.21
122,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M09,-0.0126482213438806
123,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M10,315.99
124,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M10,0.18071143237588
125,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M11,317.07
126,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M11,0.119991158546218
127,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M12,318.35
128,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M12,0.204595530374574
129,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M01,319.57
130,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M01,0.260400326284738
131,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M02,320.01
132,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M02,0.294606199266623
133,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M03,320.74
134,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M03,0.275120365159753
135,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M04,321.84
136,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M04,0.143132740058483
137,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M05,322.26
138,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M05,0.0031031807602666
139,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M06,321.89
140,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M06,0.127535149931557
